City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Bluff,-46.6,168.3333,overcast clouds,55.0,80,89,21.99,NZ
1,Kieta,-6.2167,155.6333,overcast clouds,80.51,80,99,3.24,PG
2,Carnarvon,-24.8667,113.6333,few clouds,75.2,83,12,16.11,AU
3,North Haven,41.3909,-72.8595,clear sky,60.8,25,1,14.97,US
4,Ilulissat,69.2167,-51.1,light snow,21.2,63,75,19.57,GL
5,Phon,15.816,102.5998,overcast clouds,73.0,99,100,4.88,TH
6,Rocha,-34.4833,-54.3333,scattered clouds,68.86,85,35,10.87,UY
7,Tiarei,-17.5333,-149.3333,scattered clouds,84.2,74,40,4.61,PF
8,Busselton,-33.65,115.3333,clear sky,63.0,92,1,1.01,AU
9,Lebu,-37.6167,-73.65,scattered clouds,60.03,71,27,12.59,CL
10,Ondjiva,-17.0667,15.7333,scattered clouds,70.11,48,31,6.11,AO
11,Ransang,8.9603,117.5828,overcast clouds,77.04,81,85,3.85,PH
12,Puerto Ayora,-0.7393,-90.3518,few clouds,86.0,66,20,16.11,EC
13,Leshukonskoye,64.8989,45.7622,overcast clouds,28.53,91,89,8.46,RU
14,Rikitea,-23.1203,-134.9692,broken clouds,77.52,68,79,17.49,PF
15,Dunedin,-45.8742,170.5036,few clouds,57.99,75,17,1.99,NZ
16,Hobart,-42.8794,147.3294,few clouds,54.0,71,20,8.05,AU
17,Jamestown,42.097,-79.2353,clear sky,54.0,35,1,12.66,US
18,Hithadhoo,-0.6,73.0833,overcast clouds,83.3,73,92,18.03,MV
19,The Pas,53.8251,-101.2541,overcast clouds,42.8,49,90,11.5,CA
20,Esperance,-33.8667,121.9,scattered clouds,60.8,88,40,4.61,AU
21,Mmathubudukwane,-24.6,26.4333,clear sky,68.0,68,0,5.75,BW
22,Faanui,-16.4833,-151.75,few clouds,82.08,75,20,9.91,PF
23,Kapaa,22.0752,-159.319,broken clouds,75.2,60,75,14.97,US
24,Qaanaaq,77.484,-69.3632,scattered clouds,-12.1,67,26,6.29,GL
25,Ciudad Bolivar,8.1222,-63.5497,overcast clouds,81.19,70,98,15.48,VE
26,Cape Town,-33.9258,18.4232,few clouds,66.0,88,20,19.57,ZA
27,Hovd,48.0056,91.6419,few clouds,30.78,24,11,1.77,MN
28,Luang Prabang,19.8856,102.1347,overcast clouds,70.63,97,100,1.45,LA
29,Durango,24.8333,-104.8333,clear sky,79.92,11,0,4.36,MX
30,Meulaboh,4.1363,96.1285,overcast clouds,76.51,88,100,3.53,ID
31,Khatanga,71.9667,102.5,clear sky,-11.61,86,10,9.01,RU
32,Avarua,-21.2078,-159.775,light rain,84.2,74,75,20.71,CK
33,Kaseda,31.4167,130.3167,few clouds,55.29,80,17,22.01,JP
34,Mar Del Plata,-38.0023,-57.5575,scattered clouds,73.99,78,40,18.41,AR
35,Kutum,14.2,24.6667,few clouds,71.64,13,13,10.04,SD
36,Fredericksburg,38.3032,-77.4605,clear sky,75.2,16,1,11.5,US
37,Castro,-24.7911,-50.0119,scattered clouds,63.93,80,45,8.3,BR
38,New Norfolk,-42.7826,147.0587,broken clouds,54.0,68,55,4.0,AU
39,Ushuaia,-54.8,-68.3,scattered clouds,46.4,57,40,10.36,AR
40,Chokurdakh,70.6333,147.9167,broken clouds,-25.94,100,53,4.81,RU
41,Aksu,41.1231,80.2644,overcast clouds,45.55,50,96,5.93,CN
42,Port Lincoln,-34.7333,135.8667,clear sky,61.81,83,0,12.48,AU
43,Galesong,-5.3166,119.3661,few clouds,77.0,100,20,1.14,ID
44,Hermanus,-34.4187,19.2345,light rain,64.99,92,96,12.3,ZA
45,Saint-Philippe,-21.3585,55.7679,clear sky,78.8,78,0,5.75,RE
46,Smoky Lake,54.1169,-112.4686,overcast clouds,39.2,81,98,14.97,CA
47,Lavrentiya,65.5833,-171.0,scattered clouds,-0.96,77,30,7.85,RU
48,Bayan,46.0833,127.4,few clouds,44.01,31,12,11.5,CN
49,Tasiilaq,65.6145,-37.6368,snow,21.2,86,90,14.97,GL
50,Paamiut,61.994,-49.6678,overcast clouds,37.0,79,92,20.02,GL
51,Torbay,47.6666,-52.7314,light intensity drizzle,42.01,100,90,16.11,CA
52,Upernavik,72.7868,-56.1549,scattered clouds,-10.59,87,32,12.44,GL
53,Lorengau,-2.0226,147.2712,overcast clouds,80.31,80,100,1.54,PG
54,Sabang,5.8933,95.3214,overcast clouds,82.38,73,100,12.35,ID
55,Tuatapere,-46.1333,167.6833,moderate rain,54.0,84,97,20.0,NZ
56,Aklavik,68.2191,-135.0107,overcast clouds,12.2,62,100,5.75,CA
57,Longyearbyen,78.2186,15.6401,broken clouds,24.8,63,75,21.85,SJ
58,Cherskiy,68.75,161.3,broken clouds,-8.19,97,72,2.13,RU
59,Santa Marta,11.2408,-74.199,overcast clouds,81.7,73,95,16.96,CO
60,Saint-Georges,12.0564,-61.7485,scattered clouds,79.88,71,42,12.41,GD
61,Yatou,37.15,122.3833,clear sky,42.08,51,2,5.21,CN
62,Te Anau,-45.4167,167.7167,overcast clouds,54.27,74,94,8.59,NZ
63,Camabatela,-8.1881,15.375,scattered clouds,62.82,96,40,3.69,AO
64,Ust-Kuyga,70.0167,135.6,overcast clouds,-13.04,98,100,5.12,RU
65,Leningradskiy,69.3833,178.4167,overcast clouds,3.02,90,100,5.08,RU
66,Norman Wells,65.282,-126.8329,broken clouds,19.4,58,75,11.5,CA
67,Saskylakh,71.9167,114.0833,few clouds,-26.88,100,23,3.76,RU
68,Komsomolskiy,40.4272,71.7189,light rain,48.2,87,75,4.61,UZ
69,Yarada,17.65,83.2667,scattered clouds,80.37,82,30,1.54,IN
70,Yershichi,53.6725,32.7542,scattered clouds,32.95,82,30,4.07,RU
71,Descalvado,-21.9039,-47.6194,clear sky,86.0,45,0,8.05,BR
72,Bardiyah,31.7561,25.0865,clear sky,70.43,28,0,13.22,LY
73,Orange,33.7,-117.7675,broken clouds,78.01,60,75,9.22,US
74,Port Alfred,-33.5906,26.891,broken clouds,67.03,87,51,12.37,ZA
75,Mataura,-46.1927,168.8643,overcast clouds,54.0,84,98,20.0,NZ
76,Vaini,-21.2,-175.2,few clouds,77.0,83,20,9.22,TO
77,Lajas,18.05,-67.0593,broken clouds,82.99,59,51,4.0,PR
78,Pimentel,-6.8367,-79.9342,clear sky,84.2,45,0,20.71,PE
79,Moosomin,50.1333,-101.6677,overcast clouds,53.78,49,100,16.02,CA
80,Gwadar,25.1216,62.3254,clear sky,79.86,74,0,10.0,PK
81,Bredasdorp,-34.5322,20.0403,light rain,64.4,94,100,9.22,ZA
82,Katsuura,35.1333,140.3,light rain,66.2,94,75,5.75,JP
83,Albany,42.6001,-73.9662,broken clouds,60.01,27,51,9.89,US
84,Kavaratti,10.5669,72.642,scattered clouds,82.04,70,38,13.42,IN
85,Kodiak,57.79,-152.4072,few clouds,46.4,61,20,3.44,US
86,Oranjemund,-28.55,16.4333,scattered clouds,62.33,96,27,6.51,NA
87,Port Elizabeth,-33.918,25.5701,overcast clouds,64.4,94,90,13.8,ZA
88,Fortuna,40.5982,-124.1573,overcast clouds,54.0,81,90,10.36,US
89,Semnan,35.5729,53.3971,clear sky,54.84,39,0,5.68,IR
90,Poronaysk,49.2167,143.1167,broken clouds,21.7,86,54,1.72,RU
91,Saint-Augustin,51.226,-58.6502,overcast clouds,37.18,99,100,17.47,CA
92,Awbari,26.5921,12.7805,clear sky,76.1,10,10,15.84,LY
93,Padang,-0.9492,100.3543,overcast clouds,73.4,94,90,2.3,ID
94,Lagoa,39.05,-27.9833,overcast clouds,60.08,81,100,17.31,PT
95,Nhulunbuy,-12.2333,136.7667,overcast clouds,77.0,94,90,6.31,AU
96,Pangnirtung,66.1451,-65.7125,few clouds,10.4,67,20,5.75,CA
97,Punta Arenas,-53.15,-70.9167,clear sky,48.2,57,0,21.85,CL
98,Camacha,33.0833,-16.3333,few clouds,60.8,72,20,2.3,PT
99,Saint-Pierre,-21.3393,55.4781,clear sky,77.0,78,0,5.75,RE
100,Dikson,73.5069,80.5464,overcast clouds,8.04,89,100,7.18,RU
101,Bentiu,9.2333,29.8333,few clouds,86.86,18,20,5.46,SS
102,Auki,-8.7676,160.7034,overcast clouds,81.36,77,98,2.98,SB
103,Ugoofaaru,5.6667,73.0,broken clouds,83.95,67,75,13.31,MV
104,Udon Thani,17.3333,102.8333,overcast clouds,77.0,88,96,0.89,TH
105,Yellowknife,62.456,-114.3525,clear sky,25.0,49,1,5.75,CA
106,Atuona,-9.8,-139.0333,broken clouds,80.71,80,59,10.11,PF
107,Cozumel,20.5083,-86.9458,few clouds,80.6,54,20,10.36,MX
108,La Macarena,2.1837,-73.7849,overcast clouds,82.17,68,91,4.03,CO
109,Victoria,22.2855,114.1577,overcast clouds,72.0,92,100,1.01,HK
110,Georgetown,5.4112,100.3354,few clouds,82.99,94,20,3.47,MY
111,Cidreira,-30.1811,-50.2056,clear sky,73.0,76,6,17.45,BR
112,Barrow,71.2906,-156.7887,clear sky,-5.8,71,1,14.97,US
113,Dongsheng,39.8161,109.9776,overcast clouds,39.31,70,100,13.56,CN
114,Colquechaca,-18.6667,-66.0167,broken clouds,40.62,60,69,6.24,BO
115,Codrington,-38.2667,141.9667,overcast clouds,56.7,66,89,6.93,AU
116,Ust-Kulom,61.6864,53.6902,broken clouds,14.59,98,84,2.59,RU
117,Novoagansk,61.9449,76.6625,overcast clouds,30.2,93,94,9.8,RU
118,Mandera,3.9366,41.867,moderate rain,82.18,63,88,10.98,KE
119,Henties Bay,-22.116,14.2845,few clouds,69.89,68,11,5.93,NA
120,Tiksi,71.6872,128.8694,overcast clouds,-18.81,100,100,4.85,RU
121,Dezhou,37.4486,116.2925,light rain,47.14,42,15,7.4,CN
122,Arraial Do Cabo,-22.9661,-42.0278,scattered clouds,77.0,88,40,3.44,BR
123,Vestmannaeyjar,63.4427,-20.2734,few clouds,21.13,50,12,23.2,IS
124,Hasaki,35.7333,140.8333,light rain,62.6,100,75,11.5,JP
125,Nelson,-41.2833,173.2833,overcast clouds,61.0,85,100,1.99,NZ
126,Tulsipur,28.131,82.2973,overcast clouds,73.99,46,90,1.01,NP
127,Isangel,-19.55,169.2667,scattered clouds,77.92,71,27,17.34,VU
128,Hilo,19.7297,-155.09,moderate rain,75.2,64,90,8.05,US
129,Hirara,24.8,125.2833,broken clouds,66.22,69,65,25.86,JP
130,Ambilobe,-13.2,49.05,broken clouds,74.01,95,65,2.95,MG
131,Anadyr,64.75,177.4833,clear sky,-11.0,84,0,13.42,RU
132,Byron Bay,-28.65,153.6167,overcast clouds,68.0,94,90,5.75,AU
133,Saint George,37.1041,-113.5841,clear sky,86.0,13,1,3.44,US
134,Jiuquan,39.7432,98.5174,broken clouds,41.52,64,56,5.46,CN
135,Butaritari,3.0707,172.7902,overcast clouds,82.06,79,94,16.17,KI
136,Suntar,62.1444,117.6319,overcast clouds,-11.11,99,99,4.81,RU
137,Aberdeen,57.1437,-2.0981,snow,35.6,87,75,20.71,GB
138,Kabardinka,44.6514,37.9428,overcast clouds,50.0,87,100,8.95,RU
139,Karratha,-20.7377,116.8463,clear sky,81.25,46,6,6.89,AU
140,Jaru,-10.4389,-62.4664,overcast clouds,74.44,97,100,3.24,BR
141,Brawley,32.9787,-115.5303,clear sky,98.6,8,1,8.32,US
142,Almora,29.6167,79.6667,broken clouds,55.54,16,52,3.09,IN
143,Mulchen,-37.7167,-72.2333,clear sky,80.87,16,0,8.03,CL
144,Havre-Saint-Pierre,50.2334,-63.5986,mist,39.2,100,90,12.66,CA
145,Vastseliina,57.7303,27.2932,clear sky,37.4,70,0,13.42,EE
146,Souillac,-20.5167,57.5167,light rain,80.01,78,32,5.99,MU
147,Hami,42.8,93.45,scattered clouds,49.8,25,26,6.93,CN
148,Yarmouth,41.7057,-70.2286,clear sky,53.6,20,1,4.61,US
149,Dwarahat,29.7833,79.4333,scattered clouds,57.27,16,43,4.36,IN
150,Morropon,-5.1822,-79.9689,light rain,85.6,61,92,1.36,PE
151,Airai,-8.9266,125.4092,overcast clouds,60.35,94,100,4.56,TL
152,Mehamn,71.0357,27.8492,light snow,33.04,97,100,5.84,NO
153,Pustoshka,56.3355,29.369,overcast clouds,35.01,80,96,9.98,RU
154,Kaitangata,-46.2817,169.8464,few clouds,63.0,49,21,11.99,NZ
155,Faya,18.3851,42.4509,clear sky,66.2,39,0,4.56,SA
156,Neiafu,-18.65,-173.9833,scattered clouds,77.0,94,40,2.3,TO
157,Ballina,-28.8667,153.5667,overcast clouds,68.0,94,90,5.75,AU
158,Sarkand,45.41,79.9186,broken clouds,40.89,45,75,8.88,KZ
159,Hambantota,6.1241,81.1185,overcast clouds,77.13,79,100,6.04,LK
160,Gamba,-2.65,10.0,light rain,78.85,90,100,6.44,GA
161,Saint Anthony,45.0205,-93.218,clear sky,77.0,25,1,6.91,US
162,Virginia Beach,36.8529,-75.978,few clouds,73.4,25,20,9.22,US
163,Solnechnyy,50.7214,136.6319,few clouds,26.46,59,22,3.78,RU
164,Shahdadkot,27.8477,67.9055,scattered clouds,83.82,9,42,8.01,PK
165,Mazamari,-11.3258,-74.5308,broken clouds,81.32,66,75,1.21,PE
166,Constitucion,-35.3333,-72.4167,few clouds,61.68,71,13,7.49,CL
167,Tual,-5.6667,132.75,broken clouds,83.57,70,74,4.47,ID
168,Belaya Gora,68.5333,146.4167,overcast clouds,-3.64,96,100,8.1,RU
169,Pahalgam,34.0333,75.3333,overcast clouds,40.62,98,100,6.69,IN
170,Westport,41.1415,-73.3579,clear sky,61.0,28,1,12.66,US
171,Port Hardy,50.6996,-127.4199,few clouds,46.4,61,20,13.8,CA
172,Pevek,69.7008,170.3133,overcast clouds,-10.46,95,97,9.35,RU
173,Lata,40.1629,-8.3327,clear sky,60.01,82,0,3.44,PT
174,Narsaq,60.9167,-46.05,broken clouds,41.0,75,75,6.91,GL
175,Turinsk,58.0458,63.696,overcast clouds,33.4,99,100,4.47,RU
176,Ashdod,31.8167,34.65,clear sky,60.01,77,0,5.75,IL
177,Poum,-20.2333,164.0167,broken clouds,78.85,73,84,24.18,NC
178,Nuuk,64.1835,-51.7216,snow,35.01,93,100,47.0,GL
179,Kochinda,21.7333,84.35,clear sky,70.77,65,0,5.3,IN
180,Victor Harbor,-35.5667,138.6167,few clouds,63.0,77,22,10.56,AU
181,Te Horo,-40.8084,175.1233,overcast clouds,64.99,91,100,5.01,NZ
182,Voh,-20.9667,164.7,broken clouds,75.78,79,73,7.31,NC
183,Beringovskiy,63.05,179.3167,few clouds,-0.4,84,14,3.27,RU
184,Myre,69.1036,15.9492,light snow,32.0,74,73,14.97,NO
185,Los Llanos De Aridane,28.6585,-17.9182,overcast clouds,66.2,59,90,1.97,ES
186,Sabha,27.0377,14.4283,scattered clouds,75.72,10,41,14.07,LY
187,Goderich,43.7501,-81.7165,few clouds,42.8,75,22,9.22,CA
188,Harper,4.375,-7.7169,light rain,79.57,86,49,5.44,LR
189,Nome,64.5011,-165.4064,snow,-0.99,78,90,32.21,US
190,Aboisso,5.4678,-3.2071,light rain,79.02,88,56,4.5,CI
191,Igrim,63.1906,64.4162,overcast clouds,30.74,98,100,4.36,RU
192,Thompson,55.7435,-97.8558,scattered clouds,42.8,28,40,2.3,CA
193,Makakilo City,21.3469,-158.0858,scattered clouds,75.2,64,40,11.5,US
194,Kahului,20.8947,-156.47,moderate rain,75.2,88,40,18.41,US
195,Abu Dhabi,24.4667,54.3667,clear sky,75.2,60,0,11.5,AE
196,Rajapur,25.3833,81.15,clear sky,80.33,6,1,1.52,IN
197,Santa Cruz,-17.8,-63.1667,broken clouds,82.4,65,75,11.5,BO
198,Qaqortoq,60.7167,-46.0333,broken clouds,41.0,75,75,6.91,GL
199,Chuy,-33.6971,-53.4616,few clouds,70.11,81,16,12.12,UY
200,Isla Mujeres,21.2311,-86.731,scattered clouds,80.6,50,40,14.97,MX
201,Half Moon Bay,37.4636,-122.4286,clear sky,63.0,67,1,13.8,US
202,Adrar,20.5022,-10.0711,overcast clouds,85.57,12,100,9.86,MR
203,Atar,20.5169,-13.0499,broken clouds,87.15,12,72,9.46,MR
204,Kiama,-34.6833,150.8667,scattered clouds,69.01,89,40,3.0,AU
205,Paracuru,-3.41,-39.0306,broken clouds,82.99,74,79,18.01,BR
206,Pitimbu,-7.4706,-34.8086,scattered clouds,82.4,83,40,9.22,BR
207,Maceio,-9.6658,-35.7353,broken clouds,78.8,89,75,6.91,BR
208,Khandyga,62.6667,135.6,scattered clouds,-30.96,100,47,1.54,RU
209,Nikolskoye,59.7035,30.7861,clear sky,39.99,75,0,6.71,RU
210,Yanam,16.7333,82.2167,broken clouds,76.41,96,80,1.88,IN
211,Mahebourg,-20.4081,57.7,scattered clouds,80.01,78,42,5.99,MU
212,Bengkulu,-3.8004,102.2655,moderate rain,76.62,83,100,9.6,ID
213,Tres Lagoas,-20.7511,-51.6783,overcast clouds,89.35,26,85,9.4,BR
214,Atbasar,51.8,68.3333,overcast clouds,32.34,96,100,5.06,KZ
215,Burnie,-41.0667,145.9167,clear sky,53.49,82,0,7.87,AU
216,Portland,45.5234,-122.6762,overcast clouds,55.99,40,90,8.05,US
217,Waiouru,-39.4833,175.6667,overcast clouds,57.42,70,100,6.69,NZ
218,Fayaoue,-20.65,166.5333,overcast clouds,77.81,66,88,22.12,NC
219,Olinda,-8.0089,-34.8553,broken clouds,82.4,69,75,9.22,BR
220,Iranshahr,27.2025,60.6848,clear sky,82.4,17,5,2.86,IR
221,Palu,-0.8917,119.8707,overcast clouds,75.07,91,100,2.04,ID
222,Alofi,-19.0595,-169.9187,broken clouds,80.6,83,75,8.05,NU
223,Ancud,-41.8697,-73.8203,clear sky,64.99,59,0,11.5,CL
224,Izazi,-7.2,35.7333,few clouds,66.2,77,20,2.48,TZ
225,Kautokeino,69.0125,23.0412,light snow,26.46,97,100,8.52,NO
226,Luderitz,-26.6481,15.1594,clear sky,70.41,66,0,16.55,NA
227,Taoudenni,22.6783,-3.9836,broken clouds,88.5,8,70,10.98,ML
228,Camana,-16.6228,-72.7111,overcast clouds,72.73,80,100,6.8,PE
229,Livingston,55.9029,-3.5226,scattered clouds,46.4,66,40,16.11,GB
230,San Cristobal,7.7669,-72.225,scattered clouds,84.2,70,40,9.22,VE
231,Egvekinot,66.3167,-179.1667,scattered clouds,-4.25,76,36,0.69,RU
232,Paramonga,-10.6667,-77.8333,scattered clouds,73.62,75,37,7.61,PE
233,East London,-33.0153,27.9116,clear sky,66.9,73,1,12.91,ZA
234,Kununurra,-15.7667,128.7333,few clouds,69.8,94,12,3.02,AU
235,Caraga,9.0,125.7417,overcast clouds,68.32,97,100,3.15,PH
236,Brenham,30.1669,-96.3977,broken clouds,72.0,64,75,7.4,US
